vname, ,pos,team,season,g,comp,att,pyds,ptd,ptdr,py/a,intc
Tom,Brady,QB,NE,2012,16,401,637,4827,34,5.3,7.6,8
Peyton,Manning,QB,DEN,2012,16,400,583,4659,37,6.3,8,11
Andrew,Luck,QB,IND,2012,16,339,627,4374,23,3.6,7,18
Carson,Palmer,QB,OAK,2012,15,345,565,4018,22,3.8,7.1,14
Matt,Schaub,QB,HOU,2012,16,350,544,4008,22,4.0,7.4,12
Joe,Flacco,QB,BAL,2012,16,317,531,3817,22,4.1,7.2,10
Any,Dalton,QB,CIN,2012,16,329,528,3669,27,5.1,6.9,16
Philip,Rivers,QB,SD,2012,16,338,527,3606,26,4.9,6.8,15
Ryan,Fitzpatrick,QB,BUF,2012,16,306,505,3400,24,4.8,6.7,16
Brandon,Weeden,QB,CLE,2012,15,297,517,3385,14,2.7,6.5,17
Ryan,Tannehill,QB,MIA,2012,16,282,484,3294,12,2.5,6.8,13
Ben,Roethlisberger,QB,PIT,2012,13,284,449,3265,26,5.8,7.3,8
Mark,Sanchez,QB,NYJ,2012,15,246,453,2883,13,2.9,6.4,18
Jake,Locker,QB,TEN,2012,11,177,314,2176,10,3.2,6.9,11
Chad,Henne,QB,JAC,2012,10,166,308,2084,11,3.6,6.8,11
Matt,Cassel,QB,KC,2012,9,161,277,1796,6,2.2,6.5,12
Blaine,Gabbert,QB,JAC,2012,10,162,278,1662,9,3.2,6.0,6